brand,outlet,area,dine_in_price_rm,delivery_price_rm,google_rating,google_reviews,ig_followers,tiktok_views_est,num_outlets,boneless,sambal_options,extras_included,viral,date_collected,price_source,viral_tax_rm,price_premium_pct,hype_score
Ayam Gepuk Express,Putrajaya,Putrajaya,16.8,20.8,4.0,310,8000,600000,5,No,3,"Rice, tempeh, cucumber, cabbage",No,2026-08-29,menufyy.com 2026,2.8,20.0,6.1
Ayam Gepuk Citarasa,Sungai Besi,Sungai Besi,9.9,11.9,4.1,680,2000,150000,2,No,2,"Rice, veg, ikan keli",No,2026-08-29,loopme.my 2026,-4.1,-29.3,7.0
Ayam Gepuk Citarasa,Maluri,Cheras,9.9,11.9,4.0,320,2000,150000,2,No,2,"Rice, veg",No,2026-08-29,loopme.my 2026,-4.1,-29.3,2.4
Ayam Gepuk Lesung,Subang,Subang,11.9,13.9,4.3,560,5000,350000,2,No,2,"Rice, kangkung, tempeh",No,2026-08-29,estimated from market tier,-2.1,-15.0,6.8
Ayam Gepuk Lesung,Petaling Jaya,Petaling Jaya,11.9,13.9,4.2,340,5000,350000,2,No,2,"Rice, kangkung, tempeh",No,2026-08-29,estimated from market tier,-2.1,-15.0,4.0
Ayam Getok Mantul,Subang,Subang,9.9,11.9,4.4,720,9000,600000,3,No,3,"Rice, tempeh, tofu",No,2026-08-29,loopme.my 2026,-4.1,-29.3,11.0
Ayam Getok Mantul,Puchong,Puchong,9.9,11.9,4.3,480,9000,600000,3,No,3,"Rice, tempeh, tofu",No,2026-08-29,loopme.my 2026,-4.1,-29.3,7.9
Ayam Getok Mantul,Shah Alam,Shah Alam,9.9,11.9,4.3,350,9000,600000,3,No,3,"Rice, tempeh, tofu",No,2026-08-29,loopme.my 2026,-4.1,-29.3,6.2
Ole Ayam Gepuk,Wangsa Maju,Wangsa Maju,12.5,14.5,4.4,320,8500,1200000,2,No,4,"Rice, tempeh, tofu, veg, pistachio sauce option",Yes,2026-08-29,loopme.my 2026,-1.5,-10.7,6.5
Ole Ayam Gepuk,Subang Perdana,Subang,12.5,14.5,4.3,280,8500,1200000,2,No,4,"Rice, tempeh, tofu, veg, pistachio sauce option",Yes,2026-08-29,loopme.my 2026,-1.5,-10.7,6.0
Ayam Gepuk Macet,Shah Alam,Shah Alam,13.0,15.0,4.2,310,4500,280000,2,No,3,"Rice, tempeh, veg",No,2026-08-29,makan.buddy Threads 2026,-1.0,-7.1,3.3
Ayam Gepuk Macet,Subang,Subang,13.0,15.0,4.1,240,4500,280000,2,No,3,"Rice, tempeh, veg",No,2026-08-29,makan.buddy Threads 2026,-1.0,-7.1,2.4
Ayam Gepuk Hut,Mid Valley,Bangsar,16.9,18.9,4.4,520,15000,1800000,3,No,4,"Rice, tempeh, tofu, veg, salted egg sotong option",Yes,2026-08-29,trip.com / ioicitymall.com.my 2026,2.9,20.7,12.7
Ayam Gepuk Hut,IOI City Mall,Putrajaya,16.9,18.9,4.3,380,15000,1800000,3,No,4,"Rice, tempeh, tofu, veg, salted egg sotong option",Yes,2026-08-29,trip.com / ioicitymall.com.my 2026,2.9,20.7,10.9
Ayam Gepuk Kg Pandan,Kampung Pandan,Cheras,10.5,12.5,4.1,410,2500,120000,1,No,3,"Rice, tempeh, veg, bumbu kacang",No,2026-08-29,estimated from budget tier,-3.5,-25.0,3.3
Ayam Gepuk 57,Subang,Subang,13.9,15.9,4.2,270,4000,220000,2,No,3,"Rice, tempeh, tofu, veg",No,2026-08-29,estimated,-0.1,-0.7,2.5
Ayam Gepuk 57,Shah Alam,Shah Alam,13.9,15.9,4.1,190,4000,220000,2,No,3,"Rice, tempeh, tofu, veg",No,2026-08-29,estimated,-0.1,-0.7,1.4
King Ayam Gepuk,Kepong,Kepong,15.6,17.6,4.3,340,6000,380000,2,No,3,"Rice, sambal, cucumber, fried chicken",No,2026-08-29,sethlui.com 2026,1.6,11.4,4.3
King Ayam Gepuk,Setapak,Setapak,15.6,17.6,4.2,260,6000,380000,2,No,3,"Rice, sambal, cucumber, fried chicken",No,2026-08-29,sethlui.com 2026,1.6,11.4,3.3
The Ayam Gepuk Shop,Bangsar South,Bangsar,14.9,16.9,4.3,310,7500,480000,1,No,3,"Rice, tempeh, tofu, veg",No,2026-08-29,estimated premium standalone,0.9,6.4,4.2
Ayam Gepuk 2BD,Puchong,Puchong,11.9,13.9,4.1,230,2500,130000,1,No,2,"Rice, tempeh, veg",No,2026-08-29,estimated,-2.1,-15.0,0.9
Ayam Gepuk 2BD,Klang,Klang,11.9,13.9,4.0,170,2500,130000,1,No,2,"Rice, tempeh, veg",No,2026-08-29,estimated,-2.1,-15.0,0.2
